RSSI,Longitude,Latitude
171,-41.31605,174.783833333333
171,-41.31605,174.783833333333
171,-41.31605,174.783833333333
165,-41.31575,174.783716666667
165,-41.31575,174.783716666667
165,-41.31575,174.783716666667
164,-41.31585,174.783733333333
164,-41.31585,174.783733333333
195,-41.31585,174.7843
203,-41.3156,174.784266666667
203,-41.3156,174.784266666667
203,-41.3156,174.784266666667
204,-41.315583333333,174.784266666667
204,-41.315583333333,174.784266666667
204,-41.315583333333,174.784266666667
199,-41.315933333333,174.784133333333
199,-41.315933333333,174.784133333333
199,-41.315933333333,174.784133333333
200,-41.315766666667,174.784133333333
200,-41.315766666667,174.784133333333
200,-41.315766666667,174.784166666667
200,-41.315766666667,174.784166666667
199,-41.3157,174.78425
199,-41.3157,174.78425
199,-41.3157,174.78425
